duration,deadline,weight,SkillRequirements,Predecessors
9,27,35,4-0-3-0-3
3,67,14,2-0-2-1-2,0
5,82,29,4-1-2-2-4,1
3,63,38,2-3-1-3-1,0-2
7,66,76,3-3-2-3-0,3-2
6,50,12,2-0-2-0-1,3
11,115,47,3-2-0-0-1,3
11,59,33,0-2-0-1-2
11,35,77,3-0-0-2-2
7,80,37,3-1-0-2-3,2
3,23,74,1-4-1-4-3,7
2,6,4,0-2-2-2-0,4
6,89,56,1-1-1-3-0,1
12,65,85,1-0-3-0-4,1
11,57,23,2-3-4-2-3,13
10,75,19,3-0-4-1-3
2,30,52,1-0-2-2-3,5-0
9,33,4,3-2-0-3-0,8
10,110,26,4-2-4-1-0,9
8,46,56,0-0-3-4-2,17
5,98,8,0-1-3-2-4,10
1,82,89,3-0-2-1-3,20-14
5,46,38,2-0-0-3-1,8-0
8,51,12,0-3-3-2-1,15
6,26,5,0-0-4-4-4,0
10,110,29,2-3-2-4-0
3,31,59,0-2-2-1-4,12
5,32,58,0-1-2-1-1,3-25
1,53,70,2-2-3-0-1,12-15
12,21,29,1-0-4-4-3,13-22
8,111,12,4-4-0-2-3,1-25
4,52,56,2-4-3-0-4
10,25,19,4-0-3-4-3
7,79,56,4-0-4-0-2,13-14
6,75,5,3-4-3-2-3,11-8
3,20,67,0-0-2-4-4
7,102,31,4-4-1-4-3
11,78,89,1-3-1-0-3,4
12,70,13,0-2-4-3-0
10,40,7,0-2-4-4-1
9,42,93,0-2-2-2-3
7,10,26,4-2-4-4-4
7,58,72,2-1-1-1-3,11
10,15,47,4-3-2-2-4
7,19,47,2-2-3-0-1
4,71,56,1-1-1-4-1
2,99,0,3-1-3-3-2,6-4
8,63,1,0-3-1-0-3,24
2,26,58,0-2-3-3-0,17-16
3,50,25,4-3-2-2-1,14-5
5,23,80,4-2-4-1-4,35-36
12,63,60,3-2-0-2-3
3,36,66,3-0-4-2-2,2-7
2,115,87,2-1-3-2-0
1,76,46,4-4-1-2-3,28
11,40,5,2-3-4-4-0
10,59,74,0-4-3-1-0
4,49,25,0-2-1-2-4,8-37
11,90,86,2-4-3-2-1
1,20,85,2-1-2-2-2
1,3,99,0-4-1-2-2,41-4
2,39,25,4-3-2-1-0
7,77,34,3-2-2-4-4,26
3,51,81,0-0-1-2-3,7
2,41,23,4-3-3-1-3,7
3,44,89,3-2-2-1-2,23
8,54,70,3-3-4-2-4,17
5,117,13,1-4-1-4-0
6,22,64,3-0-0-0-2,58
5,31,58,2-4-1-0-4,11
5,56,72,4-0-4-0-0,57-10
6,99,21,1-2-2-0-3,41
8,83,0,3-4-2-2-2,50
8,56,77,3-4-1-3-1,11-17
6,12,84,0-1-4-0-4,63
